what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936226546
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936227953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936228078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936228093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936228406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936232281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936236234
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936242500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936245078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936245750
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936251375
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936253625
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936254062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936257015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936260093
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936260703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936263500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936266781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936267062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936269937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936272484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936272812
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1346936276734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936276906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936280781
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936281609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936283453
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936284921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936289875
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936293046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936293390
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936298390
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936301250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346936301812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936305156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346936310187
